,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
0,AAZQ11,Títulos e Val. Mob.,"9,60","4,51%","7,90%","1,00",230.758.000,869.136,0,"0,00","0,00","0,00%","0,00%",
1,BLCA11,Lajes Corporativas,"137,00","4,91%","4,83%","1,00",219.200.000,67.540,1,"53.733,40","3.102,57","5,77%","0,00%","Avenida Brigadeiro Faria Lima, 3477, Itaim Bibi, Sao Paulo/SP, Brasil, 04538-133"
2,BRCO11,Logística,"118,00","6,79%","6,72%","0,98",1.743.900.000,4.149.090,11,"3.226,31","308,67","9,57%","12,06%","Rua Olympia Semeraro, nº 381, 675 e 737, São Paulo - SP,Estrada Turística do Jaraguá, nº 50, Jaraguá, São Paulo - SP,Rodovia Dom Gabriel Paulino Bueno Couto, nº 1606, Itupeva - SP,Avenida Tabai-Canoas (BR 386), nº 1.200, Canoas - RS,Avenida Marginal Direita do Tietê, nº 342, São Paulo - SP,Avenida D com acesso a Rodovia Presidente Dutra, KM 298, Resende - RJ,Avenida Wilson Tavares Ribeiro, nº 1.651 - Contagem - MG,Rodovia Dom Gabriel Paulino Bueno Couto nº 1936 - Itupeva - SP,Rua Eugênia S. do Rosário, 2800, Londrina - PR,Avenida Helio Ossamu Daikuara nº 1.135, Embu das Artes - SP,Rod. BA-535. km 23, Lauro de Freitas - BA"
3,BREV11,Híbrido,"95,00","7,21%","7,69%","0,81",91.884.100,2.375,13,"16.574,00","1.425,56","8,60%","0,00%","Rua Joaquim Floriano, 413 - São Paulo/SP,Rua Gomes de Carvalho, 1356 - São Paulo/SP,Rua Joaquim Floriano, 100 - São Paulo/SP,Rua Cristiano Viana, 401 - São Paulo/SP,Avenida Brigadeiro Faria Lima, 2055 - São Paulo/SP,Alameda Santos, 1940 - São Paulo/SP,Rua Tabapuã, 500,Rua Fidêncio Ramos, 213 - São Paulo/SP,Alameda Itu, 852 - São Paulo/SP,Rua James Joule, 92 - São Paulo/SP,Avenida Brigadeiro Faria Lima, 3015 - São Paulo/SP,Avenida Doutor Cardoso de Melo, 1336 - São Paulo/SP,Rua Helena, 260 - São Paulo/SP"
4,BTCI11,Títulos e Val. Mob.,"9,18","17,11%","7,92%","0,90",913.604.000,2.080.100,0,"0,00","0,00","0,00%","0,00%",
5,BTSG11,Híbrido,"115,00","13,26%","6,68%","0,84",89.126.700,166.472,1,"4.725,15","681,21","14,42%","0,00%","Avenida dos Alecrins, 430, Distrito Industrial, Pouso Alegre, Minas Gerais, Brasil"
6,CCME11,Outros,"128,05","3,86%","5,44%","1,26",384.073.000,178,1,"25.947,00","35,42","0,14%","0,00%","Avenida Vieira De Carvalho, 99, Sem Complemento, Republica, Sao Paulo/SP, Brasil, 01210-010"
7,CNES11,Lajes Corporativas,"28,29","4,72%","4,58%","0,32",83.434.200,4.696,1,"1.198,68","180,32","15,04%","54,60%","Avenida Maria Coelho Aguiar, 215, Jardim Sao Luis, Sao Paulo/SP, Brasil, 05805-000"
8,CRAA11,Títulos e Val. Mob.,"103,76","9,98%","4,46%","1,02",31.128.000,112.916,0,"0,00","0,00","0,00%","0,00%",
9,DOVL11B,Lajes Corporativas,"1.200,69","5,70%","6,45%","1,00",79.733.000,1.090,2,"4.561,26","612,18","13,42%","29,50%","Av.Gen. Justo, 375, Centro, Rio de Janeiro - RJ,Av.Gen. Justo, 365, Centro, Rio de Janeiro - RJ"
10,EDGA11,Lajes Corporativas,"21,05","7,19%","7,23%","0,34",80.243.800,37.630,1,"3.190,35","353,99","11,10%","41,24%","Rua Da Quitanda, 86, Centro, Rio De Janeiro/RJ, CEP 20091005"
11,ERPA11,Lajes Corporativas,"119,00","5,86%","6,59%","0,87",59.609.700,30.562,1,"17.642,00","1.382,98","7,84%","0,00%","Avenida Europa, 105 - Jardim Paulista"
12,FLMA11,Híbrido,"139,00","7,86%","7,66%","0,87",191.913.000,80.792,2,"11.016,40","951,66","8,64%","0,00%","Rua Tabapuã, 500,RUA DAS OLIMPIADAS, 205"
13,FLRP11,Shoppings,"1.848,98","7,62%","7,99%","1,01",120.613.000,8.541,1,"2.457,35","197,99","8,06%","2,92%","Rodovia Virgílio Várzea, 587 - Saco Grande II, Florianópolis - SC"
