,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
0,AAZQ11,Títulos e Val. Mob.,"9,60","4,51%","7,90%","1,00",230.758.000,869.136,0,"0,00","0,00","0,00%","0,00%",
1,ABCP11,Shoppings,"70,00","17,61%","8,21%","0,76",329.636.000,65.745,1,"4.306,82","1.068,00","24,80%","2,76%","Avenida Industrial, 600, Centro, Santo André - SP"
2,AEFI11,Outros,"174,90","8,03%","0,00%","1,21",411.893.000,0,7,"4.283,91","347,17","8,10%","0,00%","Avenida Beira Rio, 3.001, Jardim Europa - Cuiabá/MT,Rua Senador Fláquer, 456 - Centro - Santo André-SP,Rua da Consolação, nºs 2.320 e 2.322 - São Paulo/SP,Avenida São Luís Rei de França, 32, Turu - São Luís/MA,Rua Timbiras, 1387, Funcionários - Belo Horizonte/MG,Avenida Presidente Juscelino Kubitschek, n° 227/229 e 247, Centro - Betim/MG,Av. Dr. Rudge Ramos, nº 1.501 - São Bernardo do Campo/SP"
3,AFCR11,,"103,15","18,21%","0,00%","1,00",186.437.000,0,0,"0,00","0,00","0,00%","0,00%",
4,AFHI11,Títulos e Val. Mob.,"96,81","11,02%","13,44%","1,01",292.313.000,841.976,0,"0,00","0,00","0,00%","0,00%",
5,AFOF11,Títulos e Val. Mob.,"91,60","10,72%","3,44%","1,00",63.313.200,0,0,"0,00","0,00","0,00%","0,00%",
6,AGCX11,Outros,"1.235,50","0,93%","0,00%","11,43",14.317.200.000,0,77,"107.720,00","1.121,97","1,04%","7,05%","Rua Salvador Gianetti, nº 436 - São Paulo - SP,Rua Paes Leme, 250/258 - São Paulo - SP,Av. Indianópolis, nº 2.125 - São Paulo - SP,Via Anchieta, nº 1.558 - São Paulo - SP,Rua Santa Filomena, nºs 677, 687 e 697, Centro - SBC - SP,R. Marechal Deodoro - SP,Av. Liberdade, 151 - SP,Av. Mateo Bei 3286 - SP,Rua da Quitanda, 70 - RJ,R. Cel. Souza Franco, 115 - Suzano - SP,Av. Maria Luiza Americano, 1688 - São Paulo/SP,Lg. Páteo do Colégio, 1 - São Paulo - SP,Av. Mateo Bei, 413 - São Paulo/SP,Estrada do Pernambuco, nº 500 - Guarujá - SP,Av. Afrânio de Melo Franco, 131 - Leblon - RJ,Rua Pedro I 00373 - CE,Praça Visconde de Mauá, 20 - SP,Av Eng. Luiz Carlos Berrini, 1307 - SP,Estrada de Itapecerica, nº 3.429 - São Paulo - SP,Av. Imirim, nº 1.271 - São Paulo - SP,Rua Dias da Cruz, nº 28-A - Rio de Janeiro - RJ,Av. 1, 500  Rio Claro - SP,Av. Paulista, 1.227,Rua Haddock Lobo, 1573, Jardins,Av. João Pinheiro, 500 - MG,Av. Rio Branco, 115 - RJ,Av. Cons. Rodrigues Alves, 53 - SP,Av. Sto. Amaro, 3332 - SP,Av. República do Chile, nº 230 - Rio de Janeiro - RJ,Est. Rio do A, 1131 - Campo Grande - RJ,Alameda Santo Ângelo, 118 - Mogi das Cruzes - SP,Rua Guerino Giovani Leardini, nº 63/67 - São Paulo - SP,Av. Senador Queiroz, nº 85 a 111 - Lj 1 a 3 - São Paulo - SP,Rua Desembargador Góes Cavalcante, nº 261 - Recife - PE,Av. Duque de Caxias - SP,R Barao de Jundiai 884 - SP,Rua Dr. Feliciado Sodré, 111 - RJ,Rua 7 de Setembro, 1100 - RS,Av. Rio Branco, 311-B - Rio de Janeiro - RJ,Rua dos Italianos, 609 - São Paulo - SP,Av. Marechal Floriano Peixoto, nº 2.370 - N Iguaçu - RJ,Rua Dr. Nilo Peçanha, nº 125 - São Gonçalo - RJ,Av. Barão de Itapura, nº 2233 - Campinas - SP,Rua 12, 239 - RJ,Rua. Sem. Flaquer, 305 - SP,Av. Senador Queiroz, nº 85 a 111 - Lj 4 e 5 - São Paulo - SP,Av. Rio Branco, nº 1.675 - loja - São Paulo - SP,Av. de Pinedo, nº 228 - São Paulo - SP,Rua Antônio Vieira, nº 24 - Loja A - Rio de Janeiro - RJ,Av. das Américas, nº 15.545 - Rio de Janeiro - RJ,Av. Santa Catarina, 287 - São Paulo - SP,Av. Padre Antônio Jose Dos Santos, nº 872 - São Paulo - SP,Av. Paulista, 436 - SP,R Mal Deodoro 195 - PR,Rua Imp. Dom Pedro II, 255 - PE,Praça Pio X, 78 - RJ,Estrada de Taipas, 355 - São Paulo/SP,Rua Sesefredo Klein Doll, 12 - Embu-Guaçu - SP,Av. do Cursino, nº 1348 - São Paulo - SP,R. Pedro Vicente, 222 - São Paulo - SP,Av. do Imperador, 3892 - São Paulo/SP,Rua Alves Guimarães, nº 50, Pinheiros - SP,Rua Oscar Freire, 585, Jardins,Rua Floriano Peixoto 00915 - CE,Rua João de Almeida, 72 - RJ,Av. Paulista, 726 - L1 - SP,Av. Marechal Câmara, nº 160 - Rio de Janeiro - RJ,Rua Visconde de Pirajá, nº 127 - Rio de Janeiro - RJ,Avenida das Esmeraldas, 512 - Osasco - SP,Rua das Palmeiras, nº 233 - loja - São Paulo - SP,EQ 406/407-SUL  Lote 1 - Brasília - DF,Av. Brigadeiro Faria Lima, 2232,Praça Tiradentes, 85 - MG,Rua Buenos Aires, 48 - RJ,Av Paulista 447 Loja - SP,Rua Mariz e Barros, nº 79 - Rio de Janeiro - RJ"
7,AGRX11,Híbrido,"11,11","8,34%","12,37%","1,08",71.495.500,118.960,0,"0,00","0,00","0,00%","0,00%",
8,AIEC11,Lajes Corporativas,"69,57","13,04%","12,81%","0,74",335.674.000,545.423,2,"14.177,60","2.195,11","15,48%","0,00%","Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ,Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP"
9,ALMI11,Lajes Corporativas,"790,01","2,32%","0,00%","0,39",87.830.900,38.020,1,"1.934,49","179,20","9,26%","56,25%","Avenida Almirante Barroso, 81, Centro, Rio De Janeiro/RJ, Brasil, 20031-004"
10,ALZM11,Títulos e Val. Mob.,"91,20","10,77%","10,44%","1,00",63.036.700,75.658,0,"0,00","0,00","0,00%","0,00%",
11,ALZR11,Híbrido,"111,65","7,13%","12,34%","1,05",853.889.000,2.228.200,13,"6.936,86","563,16","8,12%","0,00%","Av. Presidente Wilson s/n.º 6000, São Paulo, SP, 03107-002,Rua Padre Adelino, 758, Quarta Parada, São Paulo/SP, Brasil, 03303-000,Rua Pacheco Leao, 70, Jardim Botânico, Rio De Janeiro/RJ, Brasil, 22460-030,Avenida Professor Ascendino Reis, 545, Vila Clementino, Sao Paulo/SP, Brasil, 04027-000,Rua Barão De Penedo, 238, P1, P13 e P14, Guarulhos/SP, Brasil, 07222-015,Rua Fritz Reiman, 628, Itapegica, Guarulhos, SP, 02236-040,Avenida Dom Hélder Câmara, 3.203 e 3.229, Del Castilho, Rio De Janeiro/RJ, Brasil, 21050-624,Avenida Duquesa De Goias, 381, Real Parque, Sao Paulo/SP, Brasil, 05686-001,Rua José Monfardini 3845, Lote A, Espírito Santo do Pinhal, SP, 13990-000,Avenida Nações Unidas, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365,Rua Arapore, 655, Jardim Guedala, São Paulo/SP, Brasil, 05608-001,Avenida Sumaré, 1500, Perdizes, Sao Paulo/SP, Brasil, 05016-110,Avenida dos Estados, S/N, Vila Metalúrgica, na Cidade de Santo André, São Paulo, 09220-570"
12,ANCR11B,Shoppings,"3.450,00","9,30%","4,55%","0,97",1.639.840.000,0,5,"9.063,56","1.010,36","11,15%","4,42%","Av. Abílio Augusto Távora, 1111 - Luz, Nova Iguaçu - RJ,Conjunto A, T137 - Asa Norte - Distrito Federal - Brasília - DF - Brasil. CEP: 70077-900,Av. Deputado Benedito Matarazzo, 9403 - Jardim Oswaldo Cruz - São José dos Campos - SP,Av. Cristiano Machado, nº 4000, Belo Horizonte/MG,Av. Praia de Botafogo, 400 - Botafogo, Cep: 22250-040 - Rio de Janeiro - RJ - Brasil."
13,APTO11,Híbrido,"9,89","13,12%","12,68%","0,99",39.687.200,39.626,5,"15.828,90","1.102,41","6,96%","0,00%","Alameda Fernão Cardim, 70  Jardim Paulista  Estado
de São Paulo,Rua Leopoldo Couto de Magalhães Júnior nº1098 e Rua Lopes Neto nº390, 28º Subdistrito - Jardim Paulista, São Paulo - SP,Alameda Fernão Cardim, 70 e 72  Jardim Paulista  Estado
de São Paulo,Rua Pedroso Alvarenga nºs 1256 e 1274, no 28º Subdistrito - Jardim Paulista, São Paulo - SP,Rua Jerônimo da Veiga nº 248, no 28º Subdistrito Jardim Paulista, São Paulo - SP"
14,ARCT11,Híbrido,"87,13","14,32%","8,68%","0,87",323.093.000,0,10,"711,33","65,74","9,24%","0,00%","Rodovia BR 020 572, Caucaia, CE, 061663-015,Rodovia GO-070, Km 2 Qd. CH, Lt. 444, , Goiânia, GO, 74470-260,Avenida Juscelino Kubitschek De Oliveira, 154, Blocos A, B, C, Centro, Votorantim/SP, Brasil, 18110-901,Rodovia Washington Luis KM 198, Corumbataí, SP, 13540-000,Av. Santos Dumont 4305, Mirassol, SP, 15135-160,Rua Professor Luciano Prata 204, São Paulo, SP, 02510-020,Av. Costa e Silva 1275, Campo Grande, MS, 79050-410,Av. Perimetral Norte 10001, Goiânia, GO, 74583-285,Rod. Juscelino Kubitscheck de Oliveira - BR 364, Frutal, MG, 38200-000,Rodovia BR 060 KM 504, Goiânia, GO, 75800-001"
15,ARRI11,Títulos e Val. Mob.,"8,74","10,31%","15,75%","0,98",114.112.000,255.941,0,"0,00","0,00","0,00%","0,00%",
16,ARXD11,Títulos e Val. Mob.,"100,00","0,21%","1,14%","0,99",49.205.000,2.428,0,"0,00","0,00","0,00%","0,00%",
17,ASMT11,Híbrido,"49,99","15,69%","9,15%","0,60",50.855.600,40.006,3,"4.747,16","741,54","15,62%","0,00%","Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha I, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170,Avenida Independencia, 565, Imóvel Porto Alegre, Independência, Porto Alegre/RS, Brasil, 00090-035,Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha Ii, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170"
18,ATSA11,Shoppings,"66,11","1,92%","0,53%","0,81",115.768.000,368,1,"3.370,55","78,14","2,32%","25,40%","Rua Giovanni Battista Pirelli, 155 - Vila Homero Thon - Santo André - SP"
19,BARI11,Títulos e Val. Mob.,"84,04","12,44%","14,44%","0,87",389.457.000,791.990,1,"0,00","0,00","0,00%","0,00%",
20,BBFI11B,Lajes Corporativas,"1.168,99","28,66%","25,14%","0,54",151.969.000,471.022,2,"1.652,19","526,00","31,84%","0,00%","Rua Barao De Sao Francisco, 177, Entrada Pela Rua Gomes Braga, 65, Andarai, Rio De Janeiro/RJ, Brasil, 20560-031,Sbs Quadra 1 Bloco E Lote 24, S/n, Sem Complemento, Asa Sul, Brasilia/DF, Brasil, 70072-900"
21,BBFO11,Títulos e Val. Mob.,"71,39","19,00%","12,01%","0,90",285.838.000,212.250,0,"0,00","0,00","0,00%","0,00%",
22,BBGO11,Títulos e Val. Mob.,"86,40","12,13%","12,31%","0,88",346.046.000,506.314,0,"0,00","0,00","0,00%","0,00%",
